word,joy,trust,fear,surprise,sadness,disgust,anger,anticipation
abandon,0,0,100,0,100,0,0,0
adult,0,0,0,0,0,0,0,0
angry,0,0,0,0,0,0,100,0
anticipatory,0,0,0,0,0,0,0,100
arse,0,0,100,0,0,0,0,0
believe,100,100,0,0,0,0,0,0
bollocks,0,0,100,0,0,0,0,0
boy,100,0,0,0,0,0,0,0
cat,0,0,100,0,0,0,0,0
child,100,0,0,0,0,0,0,0
class,0,0,0,0,0,0,0,100
crap,0,0,0,0,0,100,0,0
cry,0,0,0,0,100,0,0,0
cunt,0,0,100,0,0,0,0,0
dance,100,0,0,0,0,0,0,0
daughter,0,100,0,0,0,0,0,0
die,0,0,100,0,100,0,0,0
disgusted,0,0,0,0,0,100,0,0
eat,50,0,0,0,0,0,0,50
family,100,100,0,0,0,0,0,0
father,0,100,0,0,0,0,0,0
fear,0,0,100,0,0,0,0,0
fearful,0,0,100,0,0,0,0,0
fix,0,0,0,0,0,0,0,100
friend,100,100,0,0,0,0,0,0
fuck,0,0,50,50,0,0,0,100
fun,100,0,0,0,0,0,0,0
girl,100,0,0,0,0,0,0,0
goodbye,0,0,0,0,0,0,0,100
happy,100,0,0,0,0,0,0,0
hate,0,0,0,0,0,100,100,0
hug,100,100,0,0,0,0,0,0
joyful,100,0,0,0,0,0,0,0
kid,100,0,0,0,0,0,0,0
kiss,100,100,0,0,0,0,0,0
laugh,100,0,0,0,0,0,0,0
love,100,100,0,0,0,0,0,100
man,0,0,0,0,0,0,0,0
mother,0,100,0,0,0,0,0,0
murder,0,0,100,0,100,100,100,0
parent,0,100,0,0,0,0,0,0
peace,100,0,0,0,0,0,0,0
people,50,50,0,0,0,0,0,0
quit,0,0,0,0,0,0,100,0
race,50,0,0,100,0,0,0,0
sad,0,0,0,0,100,0,0,0
sex,100,100,0,0,0,0,0,100
shit,0,0,100,0,0,0,0,0
sing,100,0,0,0,0,0,0,0
sleep,50,0,0,0,0,0,0,50
smile,100,0,0,0,0,0,0,0
son,0,100,0,0,0,0,0,0
steal,0,0,100,0,0,100,100,0
student,50,0,0,0,0,0,0,0
surprised,0,0,0,100,0,0,0,0
teacher,0,50,0,0,0,0,0,0
test,0,0,0,0,0,0,0,100
thanks,100,0,0,0,0,0,0,0
trust,0,100,0,0,0,0,0,0
unblock,0,50,0,0,0,0,0,0
woman,0,0,0,0,0,0,0,0
